model,feature_type,input_transform,test_replicate_ap,test_negcon_ap,full_replicate_ap,full_negcon_ap,target_ap
DINOv2-S/14,frozen raw,none,0.1350585034940515,0.266251064814733,0.1323448117362944,0.2680629018857493,0.0674944189310454
DINOv2-B/14,frozen raw,none,0.1384748609204059,0.2582560563859145,0.1359947302223549,0.2612951911453958,0.0735578741885814
DINOv2-L/14,frozen raw,none,0.13875483374978,0.2687515797734305,0.1345255326104625,0.2688518947817152,0.0686684506039165
