model,input_transform,run_dir,task,condition,cell,modality,metric,mean_ap,median_ap,n_queries,n_groups
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0727646801628394,0.020531499455918,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1853979627308599,0.0956944444444444,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0347482689152412,0.0154928344377996,611,237
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0356723691471382,0.0151515151515151,466,237
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.2151198507226736,0.0321756931070209,1280,306
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.351109721442233,0.1303001418207603,1280,306
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0747128527696795,0.0295198380582639,302,262
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0644587448822796,0.016159217352165,1280,305
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.2057381082717352,0.0850543635375471,1280,305
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0517194196234779,0.011050061050061,290,145
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1491120107656519,0.0272569444444444,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.2935830169114628,0.1325892857142857,640,160
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0319399706149472,0.0143692358366271,611,237
dinov2-vitb14,plate_zscore_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_plate_zscore_l2,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0427777094575663,0.0164022634153225,466,237
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.2912857581898741,0.0616088850572935,1280,306
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.3870268691767421,0.1443272933591513,1280,306
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.083790604819302,0.0321558995244817,302,262
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.0274566178661469,0.0084716035354954,1280,305
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.1006307992708364,0.0455090555723874,1280,305
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0454053314646298,0.0081306187202538,290,145
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0592340058461145,0.0174027080344332,640,160
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.1641616842963716,0.0884037015615963,640,160
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0338389116924464,0.014729867482161,611,237
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0305243102465309,0.0151515151515151,466,237
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.2247861636470537,0.0285801989726803,1280,306
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.3111030658743444,0.0897914739588596,1280,306
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0650686177769822,0.0263312492451629,302,262
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0532372715813329,0.0136539140514899,1280,305
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.1712417634771345,0.07087422828014,1280,305
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0424717375208698,0.0096620612397311,290,145
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1166421557604533,0.0214318885448916,640,160
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.2159961454983522,0.0909727527374586,640,160
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0269229056522937,0.0147952090410632,611,237
dinov2-vitb14,raw_l2,dinov2_vitb14_multimodal_short_20plate_multimodal_raw_l2,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0353612944046352,0.0158225529655478,466,237
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.2894512253891713,0.0706317455995708,1280,306
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.4819260578145844,0.3954437375490006,1280,306
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.0851813296585557,0.0291657575904046,302,262
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.0405338577874526,0.0106346584424268,1280,305
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.2376853197396076,0.1263202395192527,1280,305
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0624561201473126,0.009090909090909,290,145
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0766004311629711,0.0232929166752696,640,160
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.2097667653345266,0.1188316993464052,640,160
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,A549_compound_to_crispr,A549,compound->crispr,cross_modality_matching,0.0342700061607661,0.015095174856131,611,237
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,A549_compound_to_orf,A549,compound->orf,cross_modality_matching,0.0366242895346542,0.0151755760875543,466,237
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,replicate_retrieval,0.1848355441327319,0.0282263663640077,1280,306
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_compound,U2OS,compound,negcon_challenge,0.3357009001655077,0.1322179625145726,1280,306
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,U2OS_compound,U2OS,compound,within_modality_matching,0.0750580704586178,0.0285842754367934,302,262
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,replicate_retrieval,0.0601832745237184,0.014914309845971,1280,305
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_crispr,U2OS,crispr,negcon_challenge,0.2062511133929766,0.090543191039087,1280,305
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,U2OS_crispr,U2OS,crispr,within_modality_matching,0.0401311926109958,0.0096638655462184,290,145
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,replicate_retrieval,0.1379672884123732,0.0260647063693603,640,160
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,perturbation_retrieval,U2OS_orf,U2OS,orf,negcon_challenge,0.2727648661682175,0.1223776223776223,640,160
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,within_modality_matching,U2OS_orf,U2OS,orf,within_modality_matching,,,0,0
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,U2OS_compound_to_crispr,U2OS,compound->crispr,cross_modality_matching,0.0355214860109079,0.0147302866368117,611,237
dinov2-vits14,negcon_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_negcon_zscore_l2,cross_modality_matching,U2OS_compound_to_orf,U2OS,compound->orf,cross_modality_matching,0.0393896496489677,0.0161258991904153,466,237
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,replicate_retrieval,0.311436108871365,0.0895541819381087,1280,306
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_compound,A549,compound,negcon_challenge,0.4699209354571635,0.3555896018585276,1280,306
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,A549_compound,A549,compound,within_modality_matching,0.0874708315890083,0.0313229936519343,302,262
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,replicate_retrieval,0.0433958696290059,0.0114494021728457,1280,305
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_crispr,A549,crispr,negcon_challenge,0.2003838721895077,0.0796528426276729,1280,305
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,A549_crispr,A549,crispr,within_modality_matching,0.0628685747489251,0.0086213303604607,290,145
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,replicate_retrieval,0.0774487568781607,0.0228609241343665,640,160
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,perturbation_retrieval,A549_orf,A549,orf,negcon_challenge,0.2087277604443821,0.1179563492063492,640,160
dinov2-vits14,plate_zscore_l2,dinov2_vits14_multimodal_short_20plate_multimodal_plate_zscore_l2,within_modality_matching,A549_orf,A549,orf,within_modality_matching,,,0,0
