seed,model,loss,input_transform,best_val_replicate_ap,test_replicate_ap,test_negcon_ap,full_replicate_ap,full_negcon_ap,target_ap
42,DINOv2-L/14,Proxy-CE,plate_zscore_l2,0.3113021965688426,0.3198720715815483,0.4345921105346846,0.4893616422716656,0.5693025528342852,0.0812291165548547
1,DINOv2-L/14,Proxy-CE,plate_zscore_l2,0.308945020202411,0.3216807237431532,0.4290729484363957,0.4872491331920445,0.5670322810018225,0.083525122927185
2,DINOv2-L/14,Proxy-CE,plate_zscore_l2,0.317511569206726,0.3289038274387609,0.4377002666279493,0.4943624302850889,0.5733003850302115,0.0823347268344764
3,DINOv2-L/14,Proxy-CE,plate_zscore_l2,0.3144419388507201,0.3253720006766037,0.4270675972415482,0.4921221104564834,0.5652690731145859,0.0807248999618634
