model,loss,input_transform,best_val_replicate_ap,test_replicate_ap,test_negcon_ap,full_replicate_ap,full_negcon_ap,target_ap
DINOv2-S/14,SupCon,plate_zscore_l2,0.2935080138706392,0.3030910595868373,0.4162636398619016,0.4713954000167326,0.554317354497987,0.0781274029263709
DINOv2-S/14,Proxy-CE,plate_zscore_l2,0.2910849444031587,0.3036462119176294,0.4096385955919887,0.4737730312373417,0.5495437363557103,0.0787358265182098
DINOv2-S/14,SupCon,negcon_zscore_l2,0.2765325387117806,0.2932217540207839,0.4107115507690747,0.4627739996569071,0.5468818162008621,0.0715363588227941
DINOv2-S/14,SupCon,raw_l2,0.2389107728650381,0.2493572114176833,0.4062434749585106,0.3535357516532484,0.4963865487074631,0.0834135122214439
DINOv2-S/14,Triplet,plate_zscore_l2,0.2233783704109733,0.2248905589005875,0.3482480228840498,0.2587109495196914,0.3748551199285475,0.0853750683947373
DINOv2-B/14,SupCon,plate_zscore_l2,0.3032625153502244,0.3166517368609184,0.4256891519247891,0.4844087900992062,0.5649265628578224,0.0785948886542252
DINOv2-B/14,Proxy-CE,plate_zscore_l2,0.3069904792009326,0.3173049035173818,0.4260935320423421,0.4842736354969143,0.5615583616551121,0.0814061137018155
DINOv2-L/14,SupCon,plate_zscore_l2,0.3095529469007416,0.3080171468050908,0.4143896430746815,0.4830071279577307,0.5611333051686318,0.0710065228481742
DINOv2-L/14,Proxy-CE,plate_zscore_l2,0.3113021965688426,0.3198720715815483,0.4345921105346846,0.4893616422716656,0.5693025528342852,0.0812291165548547
