model,input_transform,full_replicate_ap,full_negcon_ap,target_ap
DINOv2-S/14,raw_l2,0.1323448117362944,0.2680629018857493,0.0673233948948638
DINOv2-S/14,global_zscore_l2,0.1444218315333916,0.3105973211813359,0.0717876680281526
DINOv2-S/14,plate_center_l2,0.1407811298732474,0.3211216551039879,0.0714584415950452
DINOv2-S/14,plate_zscore_l2,0.1550901163306145,0.3388921483830923,0.0727115112848019
DINOv2-S/14,negcon_center_l2,0.1319319341249397,0.3309671752701428,0.0746670177949584
DINOv2-S/14,negcon_zscore_l2,0.1326827890512235,0.3433012839616874,0.0743741999474037
DINOv2-B/14,raw_l2,0.1359947302223549,0.2612951911453958,0.0736832490170522
DINOv2-B/14,global_zscore_l2,0.1515820895820861,0.3157012993241045,0.0798645935678729
DINOv2-B/14,plate_center_l2,0.148598362785248,0.324355748072926,0.0792013327817835
DINOv2-B/14,plate_zscore_l2,0.1626898286462414,0.3431380693774609,0.0805643755903757
DINOv2-B/14,negcon_center_l2,0.1385246919787642,0.3341273322598791,0.0753176446821166
DINOv2-B/14,negcon_zscore_l2,0.1417905424467239,0.3496899807208088,0.0745936673011853
DINOv2-L/14,raw_l2,0.1345255326104625,0.2688518947817152,0.0687635260388049
DINOv2-L/14,global_zscore_l2,0.1478296001594733,0.3119795841095149,0.0763544920287668
DINOv2-L/14,plate_center_l2,0.1418013903556921,0.3159915402362246,0.0725247163072374
DINOv2-L/14,plate_zscore_l2,0.1540052678331367,0.3333086201386874,0.0765764627598089
DINOv2-L/14,negcon_center_l2,0.1338940753387235,0.3263055020071038,0.0745110500948784
DINOv2-L/14,negcon_zscore_l2,0.1338186657407575,0.3410819168399737,0.0767267110855505
